district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Kot	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	54,034.0	Polygon	34.172956312	70.627345939
Koran wa Monjan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	9,880.0	Polygon	35.902981438	70.698368568
Kohsan	Number of persons excluding nomadic population (according to official estimates)		Hirat	56,472.0	Polygon	34.771747764	61.249098312
Kohistanat	Number of persons excluding nomadic population (according to official estimates)		Sar-e-Pul	83,063.0	Polygon	35.406158930	65.963337538
Kohistan	Number of persons excluding nomadic population (according to official estimates)		Faryab	56,594.0	Polygon	35.349423097	64.956595103
Kohistan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	17,198.0	Polygon	37.410686166	70.662149289
Kohband	Number of persons excluding nomadic population (according to official estimates)		Kapisa	24,394.0	Polygon	35.110987220	69.460653702
Koh-e- Safi	Number of persons excluding nomadic population (according to official estimates)		Parwan	32,200.0	Polygon	34.754573462	69.468074849
Kofab	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	23,174.0	Polygon	37.957225448	70.699284280
Kishindeh	Number of persons excluding nomadic population (according to official estimates)		Balkh	50,496.0	Polygon	35.926279018	66.929505453
Khwajaumari	Number of persons excluding nomadic population (according to official estimates)		Ghazni	19,637.0	Polygon	33.673221796	68.414670088
Khwajahijran	Number of persons excluding nomadic population (according to official estimates)		Baghlan	54,643.0	Polygon	35.993359342	69.294978687
Khwajaghar	Number of persons excluding nomadic population (according to official estimates)		Takhar	69,720.0	Polygon	37.008715167	69.403914212
Khwajadukoh	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	27,932.0	Polygon	36.935396492	65.619000897
Khwajabahawuddin	Number of persons excluding nomadic population (according to official estimates)		Takhar	24,150.0	Polygon	37.332127256	69.569945541
Khwaja Sabzposh	Number of persons excluding nomadic population (according to official estimates)		Faryab	52,692.0	Polygon	36.046784738	64.973364635
Khwahan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	17,198.0	Polygon	37.835107906	70.417932612
Khuram Wa Sarbagh	Number of persons excluding nomadic population (according to official estimates)		Samangan	41,348.0	Polygon	35.946376297	68.057425826
Khulm	Number of persons excluding nomadic population (according to official estimates)		Balkh	74,990.0	Polygon	36.842767218	67.681306576
Khost Wa Firing	Number of persons excluding nomadic population (according to official estimates)		Baghlan	65,499.0	Polygon	35.927995125	69.644761514
Khoshi	Number of persons excluding nomadic population (according to official estimates)		Logar	25,004.0	Polygon	33.992404017	69.292073141
Khogyani	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	135,522.0	Polygon	34.261333471	70.084512111
Khinjan	Number of persons excluding nomadic population (according to official estimates)		Baghlan	31,590.0	Polygon	35.453057559	68.986855778
Khinj (Hisa-e- Awal)	Number of persons excluding nomadic population (according to official estimates)		Panjsher	41,470.0	Polygon	35.412666254	69.753091074
Khasuruzgan	Number of persons excluding nomadic population (according to official estimates)		Uruzgan	58,668.0	Polygon	32.977051849	66.729130398
Khaskunar	Number of persons excluding nomadic population (according to official estimates)		Kunarha	36,348.0	Polygon	34.599137860	70.919871627
Khashrod	Number of persons excluding nomadic population (according to official estimates)		Nemroz	26,346.0	Polygon	31.725304043	62.939042918
Khash	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	39,518.0	Polygon	36.951917714	70.714719618
Kharwar	Number of persons excluding nomadic population (according to official estimates)		Logar	27,199.0	Polygon	33.702836658	68.890243363
Khanaqa	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	24,150.0	Polygon	36.790770185	66.063641511
Khanabad	Number of persons excluding nomadic population (according to official estimates)		Kunduz	142,646.0	Polygon	36.645961454	69.105452240
Khan-e-Char Bagh	Number of persons excluding nomadic population (according to official estimates)		Faryab	24,028.0	Polygon	37.135259079	65.238824329
Khamyab	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	14,514.0	Polygon	37.284268116	65.749953198
